dns_branch_code,Current Product Name in SFA,Proposed Product Name in SFA
EW07,ULTRATECH,ULTRATECH PPC HDPE
EW07,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
EW07,ACC HPC,ACC HPC HDPE
EW07,ACC ADSTAR,ACC PPC ADSTAR
EW08,STAR CEMENT PPC,STAR PPC HDPE
EW08,STAR CEMENT PPC(ADSTAR),STAR PPC ADSTAR
EW08,AMBUJA,AMBUJA PPC HDPE
EW08,AMBUJA ADSTAR,AMBUJA PPC ADSTAR
EW08,ULTRATECH,ULTRATECH PPC HDPE
EW08,ULTRATECH SUPER,ULTRATECH SUPER PPC ADSTAR
EW08,ACC HPC,ACC HPC HDPE
EW08,ACC ADSTAR,ACC PPC ADSTAR
