ooh_site_code,state,area,city,location,facing,media,type,L_R,T_B,qty,fascia,sq_ft,vendor,vendor_code,location_facing,is_active
WBOOH041,"Sikkim","South Sikkim","Namchi","Hospital Dara","Jorethang","Hoarding","NL",20,10,1,"1",200,"Demarg Advertisers",BRV028,"Hospital Dara (Jorethang)",N
WBOOH042,"Sikkim","East Sikkim","Gangtok","opp DC Office","Bojogari","Hoarding","NL",20,10,1,"1",200,"Demarg Advertisers",BRV028,"opp DC Office(Bojogari)",N
WBOOH043,"Sikkim","South Sikkim","Jorethang","Ravangala","Namchi","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Ravangala(Namchi)",N
WBOOH044,"Sikkim","South Sikkim","Jorethang","Jorthang Brigde","Gajing","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Jorthang Brigde(Gajing)",N
WBOOH045,"Sikkim","West Sikkim","Dentham","Dentam Bazer","Town","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Dentam Bazer(Town)",N
WBOOH046,"West Bengal","Darjeeling","Siliguri","Salbari Bridge","Darjeeling More","Hoarding","NL",50,20,1,"1",1000,"Swastik Ad Agency",BRV025,"Salbari Bridge (Darjeeling More)",N
WBOOH047,"West Bengal","Jalpaiguri","Gajoldoba","Gajoldoba","Facing Siliguri","Hoarding","NL",20,10,1,"1",200,"Star Communication",BRV024,"Gajoldoba (Facing Siliguri)",Y
WBOOH048,"West Bengal","Siliguri","Darjeeling","Dilaram","Siliguri","Hoarding","NL",20,10,1,"1",200,"Artman Advertising",BRV026,"Dilaram (Siliguri)",N
WBOOH049,"West Bengal","Siliguri","Darjeeling","Sonada","Darjeeling","Hoarding","NL",20,20,1,"1",400,"Artman Advertising",BRV026,"Sonada (Darjeeling)",N
WBOOH050,"West Bengal","Siliguri","Jalpaiguri","Maynaguri","Dhupguri","Hoarding","NL",30,30,1,"1",900,"Artman Advertising",BRV026,"Maynaguri (Dhupguri)",N
WBOOH051,"West Bengal","Siliguri","Jalpaiguri","Maynaguri","Dhupguri","Hoarding","NL",25,25,1,"1",625,"Artman Advertising",BRV026,"Maynaguri (Dhupguri)",N
WBOOH052,"West Bengal","Coochbehar","Alipurduar","Madarihut Chowpatti","Falakata","Hoarding","NL",25,25,1,"1",625,"Artman Advertising",BRV026,"Madarihut Chowpatti (Falakata)",N
WBOOH053,"West Bengal","Coochbehar","Coochbehar","Coochbehar Town Entry and Exit","Town","Hoarding","NL",20,10,2,"1",400,"Artman Advertising",BRV026,"Coochbehar Town Entry and Exit (Town)",N
WBOOH054,"West Bengal","Coochbehar","Coochbehar","Pundibari Connector","Coochbehar","Hoarding","NL",30,20,1,"1",600,"Artman Advertising",BRV026,"Pundibari Connector (Coochbehar)",N
WBOOH055,"West Bengal","Siliguri","Darjeeling","Mirikh","Mirikh","Hoarding","NL",30,10,1,"1",300,"Artman Advertising",BRV026,"Mirikh (Mirikh)",N
WBOOH056,"West Bengal","Siliguri","Darjeeling","Way To Mirikh","Sourani","Hoarding","NL",25,20,1,"1",500,"Artman Advertising",BRV026,"Way To Mirikh (Sourani)",N
WBOOH057,"West Bengal","Siliguri","Darjeeling","Tung","Darjeeling","Hoarding","NL",30,20,1,"1",600,"Artman Advertising",BRV026,"Tung (Darjeeling)",N
WBOOH058,"West Bengal","Siliguri","Darjeeling","Mirikh Municipality","Mirikh Bajar","Hoarding","NL",30,30,1,"1",900,"Artman Advertising",BRV026,"Mirikh Municipality (Mirikh Bajar)",N
WBOOH059,"West Bengal","Siliguri","Darjeeling","Khaprail Bazar","Darjeeling","Hoarding","FL",30,25,1,"1",750,"P S ENTERPRISE",BRV027,"Khaprail Bazar (Darjeeling)",N
WBOOH060,"West Bengal","Siliguri","Darjeeling","Panitanki Nepal Border","Siliguri","Hoarding","NL",20,20,1,"1",400,"P S ENTERPRISE",BRV027,"Panitanki Nepal Border (Siliguri)",N
WBOOH061,"West Bengal","Siliguri","Darjeeling","Bidhan Nagar Flyover Bridge","Siliguri","Hoarding","NL",40,20,1,"1",800,"P S ENTERPRISE",BRV027,"Bidhan Nagar Flyover Bridge (Siliguri)",N
WBOOH062,"West Bengal","Siliguri","Jalpaiguri","Nagrakata Toll Gate","Malbajar","Hoarding","NL",40,20,1,"1",800,"P S ENTERPRISE",BRV027,"Nagrakata Toll Gate (Malbajar)",N
WBOOH063,"West Bengal","Siliguri","Jalpaiguri","Dhupguri","Siliguri","Hoarding","FL",30,25,1,"1",750,"P S ENTERPRISE",BRV027,"Dhupguri (Siliguri)",N
WBOOH064,"West Bengal","Coochbehar","Alipurduar","Sonapur Chowpathy","Alipurduar","Hoarding","NL",30,20,1,"1",600,"P S ENTERPRISE",BRV027,"Sonapur Chowpathy (Alipurduar)",N
WBOOH065,"West Bengal","Coochbehar","Coochbehar","Haldibari Bazar","Mekhliganj","Hoarding","NL",30,25,1,"1",750,"P S ENTERPRISE",BRV027,"Haldibari Bazar (Mekhliganj)",N
WBOOH066,"West Bengal","Coochbehar","Coochbehar","Dinhata Chowpathy","Coochbehar","Hoarding","FL",40,25,1,"1",1000,"P S ENTERPRISE",BRV027,"Dinhata Chowpathy (Coochbehar)",N
WBOOH067,"West Bengal","Coochbehar","Coochbehar","Nishiganj Bus Stand","Dinhata","Hoarding","NL",20,20,1,"1",400,"P S ENTERPRISE",BRV027,"Nishiganj Bus Stand (Dinhata)",N
WBOOH068,"West Bengal","Siliguri","Darjeeling","Rohini Below Kurseong, Fcg. Kurseong & Siliguri","Siliguri","Hoarding","NL",40,20,1,"1",800,"Demarg Advertisers",BRV028,"Rohini Below Kurseong, Fcg. Kurseong & Siliguri (Siliguri)",N
WBOOH069,"West Bengal","Sikkim","Mangan","Mangan Bazar","Town","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Mangan Bazar (Town)",N
WBOOH070,"West Bengal","Sikkim","Melli Jorethang Road","Sumbuk Near Rolu Mandir","Melli","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Sumbuk Near Rolu Mandir (Melli)",N
WBOOH071,"West Bengal","Sikkim","Soreng","Soreng Sombaria fatak","Sombaria","Hoarding","NL",15,9,1,"1",135,"Demarg Advertisers",BRV028,"Soreng Sombaria fatak(Sombaria)",N
WBOOH072,"West Bengal","Coochbehar","Alipurduar","Damanpur","Alipurduar","Hoarding","BL",5,5,14,"1",350,"Swastik Ad Agency",BRV025,"Damanpur (Alipurduar)",Y
WBOOH073,"West Bengal","Coochbehar","Alipurduar","Damanpur","Alipurduar","Hoarding","BL",4,6,4,"1",96,"Swastik Ad Agency",BRV025,"Damanpur (Alipurduar)",Y
WBOOH074,"Sikkim","Namchi","Jorethang","Jorethang","Town","Pole Kiosk","NL",3,3,25,"1",150,"Artman Advertising",BRV026,"Jorethang (Town)",N
WBOOH075,"West Bengal","Darjeeling","Darjeeling","Town Entry","Town","Pole Kiosk","NL",3,4,25,"2",600,"P S ENTERPRISE",BRV027,"Town Entry (Town)",N
WBOOH076,"West Bengal","Kalimpong","Kalimpong","Town Entry","Town","Pole Kiosk","NL",3,4,25,"2",600,"P S ENTERPRISE",BRV027,"Town Entry (Town)",N
WBOOH077,"West Bengal","Coochbehar","Coochbehar","Mekhligunj bridge","Haldibari","Hoarding","NL",40,20,1,"1",800,"Artman Advertising",BRV026,"Mekhligunj bridge (Haldibari)",N
WBOOH078,"West Bengal","Coochbehar","Coochbehar","Khagrabari","Pundibari","Hoarding","NL",40,25,1,"1",1000,"Artman Advertising",BRV026,"Khagrabari (Pundibari)",N
WBOOH079,"West Bengal","Coochbehar","Coochbehar","Bus Stand","Town","Hoarding","NL",30,20,1,"1",600,"Artman Advertising",BRV026,"Bus Stand (Town)",N
WBOOH080,"West Bengal","Coochbehar","Coochbehar","Dinhata Market","Chowpatti","Hoarding","NL",30,30,1,"1",900,"Artman Advertising",BRV026,"Dinhata Market (Chowpatti)",Y
WBOOH081,"West Bengal","Coochbehar","Alipurduar","KALJANI BRIDGE","Coochbehar","Hoarding","NL",50,15,1,"1",750,"Artman Advertising",BRV026,"KALJANI BRIDGE (Coochbehar)",N
WBOOH082,"West Bengal","Coochbehar","Alipurduar","HAMILTANGUMJ MARKET","Bus Stand","Hoarding","NL",35,20,1,"1",700,"Artman Advertising",BRV026,"HAMILTANGUMJ MARKET (Bus Stand)",N
WBOOH083,"West Bengal","Coochbehar","Alipurduar","Alipurduar","Alipurduar","Hoarding","NL",20,10,1,"1",200,"Star Communication",BRV024,"Alipurduar (Alipurduar)",N
WBOOH084,"West Bengal","Coochbehar","Alipurduar","NIMTI","Alipurduar","Hoarding","NL",20,10,1,"1",200,"Star Communication",BRV024,"NIMTI (Alipurduar)",N
WBOOH085,"West Bengal","Coochbehar","Alipurduar","HASIMARA","Siliguri","Hoarding","NL",20,10,1,"1",200,"Star Communication",BRV024,"HASIMARA (Siliguri)",N
WBOOH086,"West Bengal","Coochbehar","Coochbehar","Tufanganj Bus Stand","Khagrabari","Hoarding","NL",30,20,1,"1",600,"P S ENTERPRISE",BRV027,"Tufanganj Bus Stand (Khagrabari)",Y
WBOOH087,"West Bengal","Coochbehar","Coochbehar","Mathabhanga Bridge","Siliguri","Hoarding","NL",20,20,1,"1",400,"P S ENTERPRISE",BRV027,"Mathabhanga Bridge (Siliguri)",N
WBOOH088,"West Bengal","Coochbehar","Alipurduar","Falakata chawpathi","Siliguri","Hoarding","NL",50,25,1,"1",1250,"P S ENTERPRISE",BRV027,"Falakata chawpathi (Siliguri)",N
WBOOH089,"West Bengal","Coochbehar","Alipurduar","Birpara Bus stand","Town","Hoarding","FL",28,8,2,"1",448,"P S ENTERPRISE",BRV027,"Birpara Bus stand (Town)",N
WBOOH090,"West Bengal","Coochbehar","Coochbehar","Baneswar","Khagrabari","Hoarding","NL",20,20,1,"1",400,"Ocean Ad",BRV029,"Baneswar (Khagrabari)",N
WBOOH091,"West Bengal","Alipurduar","New Alipurduar","Platform No. 1","Platform No. 1","Hoarding","NL",6,2.5,15,"1",225,"Swastik Ad Agency",BRV025,"Platform No. 1 (Platform No. 1)",N
WBOOH092,"West Bengal","Jalpaiguri","Mal Juction","Platform No. 1","Platform No. 1","Hoarding","NL",6,2.5,15,"1",225,"Swastik Ad Agency",BRV025,"Platform No. 1 (Platform No. 1)",N
WBOOH093,"West Bengal","Coochbehar","New Coochbehar","Platform No. 1","Platform No. 1","Hoarding","NL",6,2.5,15,"1",225,"Swastik Ad Agency",BRV025,"Platform No. 1 (Platform No. 1)",N
WBOOH094,"West Bengal","Jalpaiguri","Jalpaiguri Road","Platform No. 1","Platform No. 1","Hoarding","NL",6,2.5,15,"1",225,"Swastik Ad Agency",BRV025,"Platform No. 1 (Platform No. 1)",N
WBOOH095,"West Bengal","Alipurduar","Hashimara","Platform No. 1","Platform No. 1","Hoarding","NL",6,2.5,15,"1",225,"Swastik Ad Agency",BRV025,"Platform No. 1 (Platform No. 1)",N
BHOOH001,"Bihar","Kishanganj","Kishanganj","Dey Market","both side","Unipole","NL",20,10,1,"2",400,"Compupark",BRV033,"Dey Market (both side)",Y
BHOOH002,"Bihar","Kishanganj","Kishanganj","Belwa Chowk","Belwa","Hoarding","NL",20,10,1,"1",200,"Compupark",BRV033,"Belwa Chowk (Belwa)",Y
BHOOH003,"Bihar","Kishanganj","Kishanganj","Katalbari Chowk","Kishanganj Town","Hoarding","NL",20,10,1,"1",200,"Compupark",BRV033,"Katalbari Chowk (Kishanganj Town)",Y
BHOOH004,"Bihar","Kishanganj","Araria","Hospital Road","Unipole","Hoarding","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Hospital Road (Unipole)",Y
BHOOH005,"Bihar","Kishanganj","Kishanganj","Station Rd","Railway Station","Unipole","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Station Rd (Railway Station)",Y
BHOOH006,"Bihar","Kishanganj","Kishanganj","Entry point","Islampur  Highway","Unipole","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Entry point  (Islampur  Highway)",Y
BHOOH007,"Bihar","Araria","Araria","Zero Mile","Kishanganj","Unipole","NL",20,10,1,"2",400,"Compupark",BRV033,"Zero Mile (Kishanganj)",Y
BHOOH008,"Bihar","Araria","Araria","LRP Chowk","Araria","Hoarding","NL",20,10,1,"1",200,"Compupark",BRV033,"LRP Chowk (Araria)",Y
BHOOH009,"Bihar","Araria","Araria","Bus Stand","Araria","unipole","NL",20,10,1,"2",400,"SARYUG ENTERPRISE",BRV035,"Bus Stand (Araria)",Y
BHOOH010,"Bihar","Katihar","Katihar","Katihar Shahid Chowk","Railway Overbridge","Hoarding","NL",25,40,1,"1",1000,"Compupark",BRV033,"Katihar Shahid Chowk  (Railway Overbridge )",N
BHOOH011,"Bihar","Katihar","Katihar","Station Rd","Railway Station","Unipole","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Station Rd (Railway Station)",Y
BHOOH012,"Bihar","Katihar","Katihar","Overbridge","Shahid Chowk","Unipole","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Overbridge (Shahid Chowk)",Y
BHOOH013,"Bihar","Katihar","Katihar","New Market","Market","Unipole","NL",20,10,1,"2",400,"SARYUG ENTERPRISE",BRV035,"New Market (Market)",Y
BHOOH014,"Bihar","Katihar","Katihar","Ambedkar Chowk","Katihar Railway Station","Unipole","NL",20,10,1,"2",400,"Compupark",BRV033,"Ambedkar Chowk (Katihar Railway Station)",Y
BHOOH015,"Bihar","Katihar","Katihar","Rampara","Purnea Exit","Unipole","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Rampara (Purnea Exit)",Y
BHOOH016,"Bihar","Katihar","Katihar","Bhagwan Chowk","Bhagwan Chowk Xing","Unipole","NL",20,10,1,"2",400,"SARYUG ENTERPRISE",BRV035,"Bhagwan Chowk (Bhagwan Chowk Xing)",Y
BHOOH017,"Bihar","Katihar","Katihar","Polytechnic","Purnea Polytechnic Collage","unipole","NL",20,10,1,"2",400,"SARYUG ENTERPRISE",BRV035,"Polytechnic (Purnea Polytechnic Collage)",Y
BHOOH018,"Bihar","Katihar","Katihar","Ford company","Line Bazar Xing","unipole","NL",20,10,1,"2",400,"SARYUG ENTERPRISE",BRV035,"Ford company (Line Bazar Xing)",Y
BHOOH019,"Bihar","Purnea","Purnea","Banbagh","Purnea Town","Unipole","NL",20,10,1,"2",400,"Compupark",BRV033,"Banbagh (Purnea Town)",Y
BHOOH020,"Bihar","Purnea","Purnea","Sanauli Chowk","Sanauli road","Unipole","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Sanauli Chowk (Sanauli road)",Y
BHOOH021,"Bihar","Purnea","Purnea","Line Bazar","Line Bazar Xing","Unipole","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Line Bazar (Line Bazar Xing)",Y
BHOOH022,"Bihar","Purnea","Purnea","Maranga","Purnea Entry","Unipole","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Maranga (Purnea Entry)",Y
BHOOH023,"Bihar","Purnea","Purnea","Hospital rd","Purnea Exit","Unipole","NL",20,10,1,"2",400,"Mourya Media & Communications",BRV034,"Hospital rd (Purnea Exit)",Y
BHOOH024,"Bihar","Purnea","Purnea","Girja Chowk","Ford Chowk","Unipole","NL",20,10,1,"2",400,"SARYUG ENTERPRISE",BRV035,"Girja Chowk (Ford Chowk)",Y
BHOOH025,"Bihar","Purnea","Purnea","Rajni Chowk","Purnea Exit","Unipole","NL",20,10,1,"2",400,"SARYUG ENTERPRISE",BRV035,"Rajni Chowk (Purnea Exit)",Y
BHOOH026,"Bihar","Bhagalpur","Kahalgaon","Kahalgaon","NTPC Plant","OOH","NL",30,30,1,"1",900,"RS Publicity",BRV036,"Kahalgaon (NTPC Plant)",Y
BHOOH027,"Bihar","Bhagalpur","Sultanganj","Sultanganj","Bhagalpur","OOH","NL",20,10,1,"2",400,"RS Publicity",BRV036,"Sultanganj (Bhagalpur)",Y
BHOOH028,"Bihar","Bhagalpur","Banka","Banka Town","Bhagalpur","OOH","NL",20,20,1,"1",400,"Vinit Advertising",BRV037,"Banka Town (Bhagalpur)",Y
BHOOH029,"Bihar","Saharsa","Saharsa","Mahaveer Chowk","Saharsa Exit","OOH","NL",20,20,1,"1",400,"Lakshmi Ad",BRV038,"Mahaveer Chowk (Saharsa Exit)",Y
BHOOH030,"Bihar","Saharsa","Saharsa","Yaduvanshi Zeromile Chowk, Saharsa","Zeromile","OOH","NL",30,20,1,"1",600,"Lakshmi Ad",BRV038,"Yaduvanshi Zeromile Chowk, Saharsa (Zeromile)",N
BHOOH031,"Bihar","Saharsa","Saharsa","Tiwari Tola Chowk","Tiwari Tola","OOH","NL",20,20,1,"1",400,"Onyx Ad",BRV039,"Tiwari Tola Chowk (Tiwari Tola)",Y
BHOOH032,"Bihar","Supaul","Supaul","Lohiya Chowk Facing Railway Gumati, Supaul","Railway Gumti","OOH","NL",25,25,1,"1",625,"Lakshmi Ad",BRV038,"Lohiya Chowk Facing Railway Gumati, Supaul  (Railway Gumti)",Y
BHOOH033,"Bihar","Madhepura","Madhepura","Madhepura Bus Stand","Bus Stand","OOH","NL",20,20,1,"1",400,"Lakshmi Ad",BRV038,"Madhepura Bus Stand (Bus Stand)",Y
BHOOH034,"Bihar","Begusarai","Begusarai","Bus Stand","Begusarai Exit","OOH","NL",40,20,1,"1",800,"Modem Ad",BRV040,"Bus Stand (Begusarai Exit)",Y
BHOOH035,"Bihar","Begusarai","Begusarai","Harpur Chowk, Begusarai","Begusarai Entry","OOH","NL",40,20,1,"1",800,"Modem Ad",BRV040,"Harpur Chowk, Begusarai  (Begusarai Entry)",Y
BHOOH036,"Bihar","Khagaria","Khagaria","Exit Point","Baluahi Chowk","OOH","NL",40,40,1,"1",1600,"Puja Ad",BRV041,"Exit Point (Baluahi Chowk)",Y
NEOOH098,"Assam","Jorhat","Amguri","Near Janji Tiniali","Janji","Hoarding","NL",30,15,1,"1",450,"R D Advertising",BRV017,"Near Janji Tiniali (Janji)",Y
NEOOH099,"Assam","Lower Assam  2","Barpeta Town","Panchali","Four Side","Hoarding","NL",35,30,1,"1",1050,"Archana Ad & Service",BRV002,"Panchali (Four Side)",Y
NEOOH100,"Assam","Guwahati","Guwahati","Lalganesh","Battalion Gate","Hoarding","FL",40,30,1,"1",1200,"Maa Kamakhya Art",BRV011,"Lalganesh (Battalion Gate)",Y
NEOOH101,"Assam","Morigaon","Jagiroad","Jagiroad Main Town above SBI","Guwahati","Hoarding","FL",30,30,1,"1",900,"Art & Industry",BRV003,"Jagiroad Main Town above SBI (Guwahati)",Y
NEOOH102,"Assam","Dibrugarh","Moran","Moran Main Town","Jorhat","Hoarding","NL",30,30,1,"1",900,"Prerana Creative",BRV015,"Moran Main Town(Jorhat)",Y
NEOOH103,"Assam","Dibrugarh","Duliajan","Station Road","Dibrugarh Town","Hoarding","NL",20,10,1,"1",200,"Prerana Creative",BRV015,"Station Road(Dibrugarh Town)",Y
NEOOH104,"Assam","Lakhimpur","Lakhimpur","Town Nr. ASTC","Gohpur","Hoarding","FL",30,25,1,"1",750,"Prerana Creative",BRV015,"Town Nr. ASTC (Gohpur)",Y
NEOOH105,"Assam","Tezpur","Tezpur","Mission Charali","Nagaon & Dhekiajuli","Hoarding","BL",20,10,1,"2",400,"K. D. Solution",BRV044,"Mission Charali (Nagaon & Dhekiajuli)",Y
NEOOH106,"Meghalaya","Jaintia Hills","Amlarem","Amlarem Town","Jowai","Hoarding","NL",20,10,1,"1",200,"BNAS Pvt Ltd",BRV006,"Amlarem Town (Jowai)",Y
NEOOH107,"Meghalaya","Jaintia Hills","Umlong","Umlong Town","Shillong","Hoarding","NL",20,10,1,"1",200,"BNAS Pvt Ltd",BRV006,"Umlong Town (Shillong)",Y
NEOOH108,"Meghalaya","Jaintia Hills","Mawryngkneng","Mawryngkneng Town","Jowai","Hoarding","NL",20,10,1,"1",200,"BNAS Pvt Ltd",BRV006,"Mawryngkneng Town (Jowai)",Y
NEOOH109,"Assam","Dibrugarh","Dibrugarh","Mohanbari Airport Road","Airport","Hoarding","NL",30,15,1,"1",450,"R D Advertising",BRV017,"Mohanbari Airport Road (Airport)",Y
WBOOH096,"West Bengal","Malda","Malda","Gour Busstand","Malda","Hoarding","NL",20,20,1,"1",400,"Sarkar Ad Agency",BRV032,"Gour Busstand (Malda)",Y
WBOOH097,"West Bengal","Dakhin Dinajpur","Buniyadpur","Buniyadpur","Malda","Hoarding","NL",20,20,1,"1",400,"Sarkar Ad Agency",BRV032,"Buniyadpur (Malda)",Y
WBOOH098,"West Bengal","Dakhin Dinajpur","Patiram","Patiram","Gangarampur","Hoarding","NL",20,10,1,"1",200,"Sarkar Ad Agency",BRV032,"Patiram (Gangarampur)",Y
NEOOH110,"Assam","Guwahati","Guwahati","Jalukbari","Jalukbari Flyover","Hoarding","NL",35,35,1,"1",1225,"R D Advertising",BRV017,"Jalukbari (Jalukbari Flyover)",Y
NEOOH111,"Assam","Lakhimpur","Dhemaji","Dhemaji Main Town","Silapathar","Hoarding","NL",30,25,1,"1",750,"R D Advertising",BRV017,"Dhemaji Main Town (Silapathar)",Y
WBOOH099,"West Bengal","Coochbehar","Coochbehar","Baburhat","Dinhata","Hoarding","NL",20,20,1,"1",400,"Artman Advertising",BRV026,"Baburhat (Dinhata)",N
WBOOH100,"West Bengal","Alipurduar","Alipurduar","Kholta","Birpara","Hoarding","NL",20,20,1,"1",400,"Artman Advertising",BRV026,"Kholta (Birpara)",N
WBOOH101,"West Bengal","Darjeeling","Darjeeling","Darjeeling Hills","Hills","Toy Train 1 Coach 1","NL",21.6,2,2,"1",86.4,"Swastik Ad Agency",BRV025,"Darjeeling Hills (Hills)",N
WBOOH102,"West Bengal","Darjeeling","Darjeeling","Darjeeling Hills","Hills","Kiosks","NL",5,5,14,"1",350,"Swastik Ad Agency",BRV025,"Darjeeling Hills (Hills)",N
WBOOH103,"West Bengal","Darjeeling","Darjeeling","Darjeeling Hills","Hills","Kiosks","NL",4,6,4,"1",96,"Swastik Ad Agency",BRV025,"Darjeeling Hills (Hills)",N
WBOOH104,"West Bengal","Darjeeling","Darjeeling","Darjeeling Hills","Hills","Toy Train 1 Coach 2","NL",21.6,2,2,"1",86.4,"Swastik Ad Agency",BRV025,"Darjeeling Hills (Hills)",N
WBOOH105,"West Bengal","Darjeeling","Darjeeling","Darjeeling Hills","Hills","Toy Train 2 Coach 1","NL",21.1,2.6,2,"1",109.72,"Swastik Ad Agency",BRV025,"Darjeeling Hills (Hills)",N
WBOOH106,"West Bengal","Darjeeling","Darjeeling","Darjeeling Hills","Hills","Toy Train 2 Coach 2","NL",10,2.6,4,"1",104,"Swastik Ad Agency",BRV025,"Darjeeling Hills (Hills)",N
WBOOH107,"West Bengal","Jalpaiguri","Telipara","Telipara","Dhupguri","Hoarding","NL",20,20,1,"1",400,"P S ENTERPRISE",BRV027,"Telipara (Dhupguri)",N
WBOOH108,"West Bengal","Jalpaiguri","Odlabari","Odlabari","Malbajar","Hoarding","NL",20,20,1,"1",400,"P S ENTERPRISE",BRV027,"Odlabari (Malbajar)",N
WBOOH109,"West Bengal","Jalpaiguri","Mohitnagar","Mohitnagar Plant Entry","NH","ACP","BL",25,20,1,"1",500,"Artman Advertising",BRV026,"Mohitnagar Plant Entry (NH)",Y
NEOOH112,"Assam","Guwahati Rural","Goreswar","Goreswar Town Entry","Baihata","Hoarding","NL",20,15,1,"1",300,"R D Advertising",BRV017,"Goreswar Town Entry (Baihata)",Y
WBOOH110,"West Bengal","Jalpaiguri","Fatapukur","Fatapukur","Fulbari","Hoarding","NL",30,20,1,"1",600,"Artman Advertising",BRV026,"Fatapukur (Fulbari)",N
WBOOH111,"West Bengal","Jalpaiguri","Jalpaiguri","Maynaguri","Dhupguri","Hoarding","NL",100,30,1,"1",3000,"Artman Advertising",BRV026,"Maynaguri (Dhupguri)",N
WBOOH112,"West Bengal","Alipurduar","Alipurduar","Madarihut Chowpatti","Birpara","Hoarding","NL",25,25,1,"1",625,"Artman Advertising",BRV026,"Madarihut Chowpatti (Birpara)",Y
WBOOH113,"West Bengal","Uttar Dinajpur","Dalkhola","Dalkhola","krisanganj","Hoarding","NL",30,30,1,"1",900,"Artman Advertising",BRV026,"Dalkhola (krisanganj)",Y
WBOOH114,"West Bengal","Uttar Dinajpur","Panji Para","Panji Para","Dalkhola","Hoarding","NL",25,20,1,"1",500,"Artman Advertising",BRV026,"Panji Para (Dalkhola)",N
WBOOH115,"West Bengal","Uttar Dinajpur","Sonapur","Sonapur","Islampur","Hoarding","NL",20,20,1,"1",400,"Artman Advertising",BRV026,"Sonapur (Islampur)",N
WBOOH116,"West Bengal","Uttar Dinajpur","Chakulia","Chakulia","kanki","Hoarding","NL",30,20,1,"1",600,"Artman Advertising",BRV026,"Chakulia (kanki)",N
WBOOH117,"West Bengal","Uttar Dinajpur","Chopra","Chopra BDO Office","Islampur","Hoarding","NL",45,20,1,"1",900,"Artman Advertising",BRV026,"Chopra BDO Office (Islampur)",N
WBOOH118,"West Bengal","Alipurduar","Jaygaon","Bhutan gate Entry","Jaigaon","Gantry","FL",60,8,1,"2",960,"P S ENTERPRISE",BRV027,"Bhutan gate Entry (Jaigaon)",N
WBOOH119,"West Bengal","Alipurduar","Barovisha","Barovisha","Alipurduar","Hoarding","NL",20,20,1,"1",400,"Artman Advertising",BRV026,"Barovisha (Alipurduar)",N
WBOOH120,"West Bengal","Coochbehar","Coochbehar","Harinchwra More","Coochbehar Town","Hoarding","NL",20,20,1,"1",400,"Ocean Ad",BRV029,"Harinchwra More (Coochbehar Town)",N
WBOOH121,"West Bengal","Uttar Dinajpur","Dalkhola","Purnia More","Dalkhola","Hoarding","NL",30,30,1,"1",900,"P S ENTERPRISE",BRV027,"Purnia More (Dalkhola)",N
WBOOH122,"West Bengal","Uttar Dinajpur","Raiganj","Suaru More","Dalkhola","Hoarding","NL",20,20,1,"1",400,"Sarkar Ad Agency",BRV032,"Suaru More (Dalkhola)",Y
NEOOH113,"Assam","Nagaon","Lanka","Shillong Road","Railway Station","Hoarding","NL",30,30,1,"1",900,"R D Advertising",BRV017,"Shillong Road (Railway Station)",Y
NEOOH114,"Assam","Silchar - Cachar","Silchar","Tarapur Overbridge","Both Side","Kiosk","NL",2,3,55,"2",660,"Soms Communication",BRV020,"Tarapur Overbridge (Both Side)",Y
NEOOH115,"Assam","Dibrugarh","Duliajan","Town Entrance","Dibrugarh","Hoarding","NL",20,10,1,"1",200,"Prerana Creative",BRV015,"Town Entrance (Dibrugarh)",Y
NEOOH116,"Assam","Tezpur","Biswanath Chariali","Main Town","Gohpur","Hoarding","NL",30,30,1,"1",900,"Binayak Advertising Pvt Ltd",BRV005,"Main Town (Gohpur)",Y
NEOOH117,"Assam","Guwahati Urban","Guwahati","Guwahati Airport","Entry/Exit","Mupi","BL",8,11,21,"1",1848,"Adani Airport Holdings Limited",BRV045,"Guwahati Airport (Entry/Exit)",Y
NEOOH118,"Assam","Guwahati Urban","Guwahati","Dhirenpara","Fatasil","Hoarding","NL",30,20,1,"1",600,"The Strategist",BRV046,"Dhirenpara (Fatasil)",Y
NEOOH119,"Meghalaya","Shillong","Shillong","Mawlai","Guwahati","Hoarding","NL",40,15,1,"1",600,"Lokenath Services & Renting",BRV047,"Mawlai (Guwahati)",Y
NEOOH120,"Meghalaya","Shillong","Shillong","Madantring","3 Side","Police Booth","BL",6,6,2,"1",72,"Redolenz Advertising",BRV043,"Madantring (3 Side)",Y
NEOOH121,"Meghalaya","Shillong","Shillong","Madantring","3 Side","Police Booth","BL",12,6,1,"1",72,"Redolenz Advertising",BRV043,"Madantring (3 Side)",Y
