COMPANY NAME,Product Name in SFA,Branch Code,Branch Name,Active,PRODUCT TYPE
,BIRLA SAMRAT PSC,DN03,JALPAIGURI,no,
,BIRLA GOLD PPC,DN03,JALPAIGURI,no,
,BIRLA GOLD PSC,DN03,JALPAIGURI,no,
,DALMIA PPC,DN03,JALPAIGURI,no,
,DALMIA PSC,DN03,JALPAIGURI,no,
,KONARK PPC,DN03,JALPAIGURI,no,
,KONARK PSC,DN03,JALPAIGURI,no,
,LAFARGE PPC,DN03,JALPAIGURI,no,
,LAFARGE PSC,DN03,JALPAIGURI,no,
,ULTRATECH PPC,DN03,JALPAIGURI,no,
,ULTRATECH PSC,DN03,JALPAIGURI,no,
,STAR PPC,DN03,JALPAIGURI,no,
,STAR PSC,DN03,JALPAIGURI,no,
,STAR ANTIRUST,DN03,JALPAIGURI,no,
,AMBUJA PLUS,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,UTRATECH SUPER,DN03,JALPAIGURI,no,
,UTRATECH PREMIUM,DN03,JALPAIGURI,no,
,NUVOCO,DN03,JALPAIGURI,no,
,RAMCO,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,JSW,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,EMAMI,DN03,JALPAIGURI,no,
,AMBUJA,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,EMAMI DOUBLE BULL,DN03,JALPAIGURI,no,
,ACC HPC,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,ACC F2R,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,BANGUR,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,BIRLA GOLD,DN03,JALPAIGURI,no,
,BIRLA SAMRAT,DN03,JALPAIGURI,no,
,DALMIA,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,NUVOCO DOUBLE BULL,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,KONARK DALMIA,DN03,JALPAIGURI,no,
,NUVOCO CONCRETO,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,SHREE,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,ULTRATECH,DN03,JALPAIGURI,yes,BENCHMARK COMPETITOR
,ULTRATECH PREMIUM,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,ULTRATECH SUPER,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,DALMIA DSP,DN03,JALPAIGURI,yes,OTHER COMPETITOR
,STAR CEMENT PSC,DN03,JALPAIGURI,no,
,STAR ANTI RUST CEMENT,DN03,JALPAIGURI,no,
,STAR CEMENT OPC 43,DN03,JALPAIGURI,no,
,STAR CEMENT PPC,DN03,JALPAIGURI,yes,OPTIONAL STAR
,STAR CEMENT PPC(ADSTAR),DN03,JALPAIGURI,yes,MANDATORY STAR
,STAR CEMENT ANTIRUST,DN03,JALPAIGURI,no,OPTIONAL STAR
,STAR CEMENT PSC(ADSTAR),DN03,JALPAIGURI,no,
,ACC PPC,DN04,DARJEELING,no,
,ACC PSC,DN04,DARJEELING,no,
,AMBUJA PPC,DN04,DARJEELING,no,
,AMBUJA PSC,DN04,DARJEELING,no,
,BIRLA SAMRAT PPC,DN04,DARJEELING,no,
,BIRLA SAMRAT PSC,DN04,DARJEELING,no,
,BIRLA GOLD PPC,DN04,DARJEELING,no,
,BIRLA GOLD PSC,DN04,DARJEELING,no,
,DALMIA PPC,DN04,DARJEELING,no,
,DALMIA PSC,DN04,DARJEELING,no,
,KONARK PPC,DN04,DARJEELING,no,
,KONARK PSC,DN04,DARJEELING,no,
,LAFARGE PPC,DN04,DARJEELING,no,
,LAFARGE PSC,DN04,DARJEELING,no,
,ULTRATECH PPC,DN04,DARJEELING,no,
,ULTRATECH PSC,DN04,DARJEELING,no,
,STAR PPC,DN04,DARJEELING,no,
,STAR PSC,DN04,DARJEELING,no,
,STAR ANTIRUST,DN04,DARJEELING,no,
,AMBUJA PLUS,DN04,DARJEELING,yes,
,UTRATECH SUPER,DN04,DARJEELING,no,
,UTRATECH PREMIUM,DN04,DARJEELING,no,
,NUVOCO,DN04,DARJEELING,no,
,RAMCO,DN04,DARJEELING,yes,
,JSW,DN04,DARJEELING,yes,
,EMAMI,DN04,DARJEELING,no,
,AMBUJA,DN04,DARJEELING,yes,
,EMAMI DOUBLE BULL,DN04,DARJEELING,no,
,ACC HPC,DN04,DARJEELING,yes,
,ACC F2R,DN04,DARJEELING,yes,
,BANGUR,DN04,DARJEELING,yes,
,BIRLA GOLD,DN04,DARJEELING,no,
,BIRLA SAMRAT,DN04,DARJEELING,no,
,DALMIA,DN04,DARJEELING,yes,
,NUVOCO DOUBLE BULL,DN04,DARJEELING,yes,
,KONARK DALMIA,DN04,DARJEELING,no,
,NUVOCO CONCRETO,DN04,DARJEELING,yes,
,NUVOCO DURAGUARD,DN04,DARJEELING,yes,
,SHREE,DN04,DARJEELING,yes,
,ULTRATECH,DN04,DARJEELING,yes,
,ULTRATECH PREMIUM,DN04,DARJEELING,yes,
,ULTRATECH SUPER,DN04,DARJEELING,yes,
,DALMIA DSP,DN04,DARJEELING,yes,
,STAR CEMENT PSC,DN04,DARJEELING,no,
,STAR ANTI RUST CEMENT,DN04,DARJEELING,no,
,STAR CEMENT OPC 43,DN04,DARJEELING,yes,
,STAR CEMENT PPC,DN04,DARJEELING,yes,
,STAR CEMENT PPC(ADSTAR),DN04,DARJEELING,yes,
,STAR CEMENT ANTIRUST,DN04,DARJEELING,yes,
,STAR CEMENT PSC(ADSTAR),DN04,DARJEELING,no,
,AMBUJA ADSTAR,DN04,DARJEELING,yes,
,ACC ADSTAR,DN04,DARJEELING,yes,
,AMBUJA ADSTAR,DN05,SIKKIM,yes,OTHER COMPETITOR
,ACC ADSTAR,DN05,SIKKIM,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),DN05,SIKKIM,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,DN05,SIKKIM,yes,OPTIONAL STAR
,ACC PPC,DN05,SIKKIM,no,
,ACC PSC,DN05,SIKKIM,no,
,AMBUJA PPC,DN05,SIKKIM,no,
,AMBUJA PSC,DN05,SIKKIM,no,
,BIRLA SAMRAT PPC,DN05,SIKKIM,no,
,BIRLA SAMRAT PSC,DN05,SIKKIM,no,
,BIRLA GOLD PPC,DN05,SIKKIM,no,
,BIRLA GOLD PSC,DN05,SIKKIM,no,
,DALMIA PPC,DN05,SIKKIM,no,
,DALMIA PSC,DN05,SIKKIM,no,
,KONARK PPC,DN05,SIKKIM,no,
,KONARK PSC,DN05,SIKKIM,no,
,LAFARGE PPC,DN05,SIKKIM,no,
,LAFARGE PSC,DN05,SIKKIM,no,
,ULTRATECH PPC,DN05,SIKKIM,no,
,ULTRATECH PSC,DN05,SIKKIM,no,
,STAR PPC,DN05,SIKKIM,no,
,STAR PSC,DN05,SIKKIM,no,
,STAR ANTIRUST,DN05,SIKKIM,no,
,AMBUJA PLUS,DN05,SIKKIM,yes,OTHER COMPETITOR
,UTRATECH SUPER,DN05,SIKKIM,no,
,UTRATECH PREMIUM,DN05,SIKKIM,no,
,NUVOCO,DN05,SIKKIM,no,
,RAMCO,DN05,SIKKIM,yes,OTHER COMPETITOR
,JSW,DN05,SIKKIM,yes,OTHER COMPETITOR
,EMAMI,DN05,SIKKIM,no,
,AMBUJA,DN05,SIKKIM,yes,OTHER COMPETITOR
,EMAMI DOUBLE BULL,DN05,SIKKIM,no,
,ACC HPC,DN05,SIKKIM,yes,OTHER COMPETITOR
,ACC F2R,DN05,SIKKIM,yes,OTHER COMPETITOR
,BANGUR,DN05,SIKKIM,yes,OTHER COMPETITOR
,BIRLA GOLD,DN05,SIKKIM,no,
,BIRLA SAMRAT,DN05,SIKKIM,no,
,DALMIA,DN05,SIKKIM,yes,OTHER COMPETITOR
,NUVOCO DOUBLE BULL,DN05,SIKKIM,yes,OTHER COMPETITOR
,KONARK DALMIA,DN05,SIKKIM,no,
,NUVOCO CONCRETO,DN05,SIKKIM,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,DN05,SIKKIM,yes,OTHER COMPETITOR
,SHREE,DN05,SIKKIM,yes,OTHER COMPETITOR
,ULTRATECH,DN05,SIKKIM,yes,BENCHMARK COMPETITOR
,ULTRATECH PREMIUM,DN05,SIKKIM,yes,OTHER COMPETITOR
,ULTRATECH SUPER,DN05,SIKKIM,yes,OTHER COMPETITOR
,DALMIA DSP,DN05,SIKKIM,yes,OTHER COMPETITOR
,STAR CEMENT PSC,DN05,SIKKIM,no,
,STAR ANTI RUST CEMENT,DN05,SIKKIM,no,
,STAR CEMENT OPC 43,DN05,SIKKIM,no,
,STAR CEMENT PPC,DN05,SIKKIM,yes,MANDATORY STAR
,STAR CEMENT PPC(ADSTAR),DN05,SIKKIM,yes,OPTIONAL STAR
,STAR CEMENT ANTIRUST,DN05,SIKKIM,no,OPTIONAL STAR
,STAR CEMENT PSC(ADSTAR),DN05,SIKKIM,no,
,ACC PPC,DN06,UTTAR DINAJPUR,no,
,ACC PSC,DN06,UTTAR DINAJPUR,no,
,AMBUJA PPC,DN06,UTTAR DINAJPUR,no,
,AMBUJA PSC,DN06,UTTAR DINAJPUR,no,
,BIRLA SAMRAT PPC,DN06,UTTAR DINAJPUR,no,
,BIRLA SAMRAT PSC,DN06,UTTAR DINAJPUR,no,
,BIRLA GOLD PPC,DN06,UTTAR DINAJPUR,no,
,BIRLA GOLD PSC,DN06,UTTAR DINAJPUR,no,
,DALMIA PPC,DN06,UTTAR DINAJPUR,no,
,DALMIA PSC,DN06,UTTAR DINAJPUR,no,
,KONARK PPC,DN06,UTTAR DINAJPUR,no,
,KONARK PSC,DN06,UTTAR DINAJPUR,no,
,LAFARGE PPC,DN06,UTTAR DINAJPUR,no,
,LAFARGE PSC,DN06,UTTAR DINAJPUR,no,
,ULTRATECH PPC,DN06,UTTAR DINAJPUR,no,
,ULTRATECH PSC,DN06,UTTAR DINAJPUR,no,
,STAR PPC,DN06,UTTAR DINAJPUR,no,
,STAR PSC,DN06,UTTAR DINAJPUR,no,
,STAR ANTIRUST,DN06,UTTAR DINAJPUR,no,
,AMBUJA PLUS,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,UTRATECH SUPER,DN06,UTTAR DINAJPUR,no,
,UTRATECH PREMIUM,DN06,UTTAR DINAJPUR,no,
,NUVOCO,DN06,UTTAR DINAJPUR,no,
,RAMCO,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,JSW,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,EMAMI,DN06,UTTAR DINAJPUR,no,
,AMBUJA,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,EMAMI DOUBLE BULL,DN06,UTTAR DINAJPUR,no,
,ACC HPC,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,ACC F2R,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,BANGUR,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,BIRLA GOLD,DN06,UTTAR DINAJPUR,no,
,BIRLA SAMRAT,DN06,UTTAR DINAJPUR,no,
,DALMIA,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,NUVOCO DOUBLE BULL,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,KONARK DALMIA,DN06,UTTAR DINAJPUR,no,
,NUVOCO CONCRETO,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,SHREE,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,ULTRATECH,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,ULTRATECH SUPER,DN06,UTTAR DINAJPUR,yes,BENCHMARK COMPETITOR
,DALMIA DSP,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,STAR CEMENT PSC,DN06,UTTAR DINAJPUR,no,
,STAR ANTI RUST CEMENT,DN06,UTTAR DINAJPUR,no,
,STAR CEMENT OPC 43,DN06,UTTAR DINAJPUR,no,
,STAR CEMENT PPC,DN06,UTTAR DINAJPUR,yes,OPTIONAL STAR
,STAR CEMENT PPC(ADSTAR),DN06,UTTAR DINAJPUR,yes,MANDATORY STAR
,STAR CEMENT ANTIRUST,DN06,UTTAR DINAJPUR,no,OPTIONAL STAR
,STAR CEMENT PSC(ADSTAR),DN06,UTTAR DINAJPUR,no,
,AMBUJA ADSTAR,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,ACC ADSTAR,DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),DN06,UTTAR DINAJPUR,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,DN06,UTTAR DINAJPUR,yes,OPTIONAL STAR
,AMBUJA ADSTAR,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,ACC ADSTAR,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,DN07,DAKSHIN DINAJPUR,yes,OPTIONAL STAR
,ACC PPC,DN07,DAKSHIN DINAJPUR,no,
,ACC PSC,DN07,DAKSHIN DINAJPUR,no,
,AMBUJA PPC,DN07,DAKSHIN DINAJPUR,no,
,AMBUJA PSC,DN07,DAKSHIN DINAJPUR,no,
,BIRLA SAMRAT PPC,DN07,DAKSHIN DINAJPUR,no,
,BIRLA SAMRAT PSC,DN07,DAKSHIN DINAJPUR,no,
,BIRLA GOLD PPC,DN07,DAKSHIN DINAJPUR,no,
,BIRLA GOLD PSC,DN07,DAKSHIN DINAJPUR,no,
,DALMIA PPC,DN07,DAKSHIN DINAJPUR,no,
,DALMIA PSC,DN07,DAKSHIN DINAJPUR,no,
,KONARK PPC,DN07,DAKSHIN DINAJPUR,no,
,KONARK PSC,DN07,DAKSHIN DINAJPUR,no,
,LAFARGE PPC,DN07,DAKSHIN DINAJPUR,no,
,LAFARGE PSC,DN07,DAKSHIN DINAJPUR,no,
,ULTRATECH PPC,DN07,DAKSHIN DINAJPUR,no,
,ULTRATECH PSC,DN07,DAKSHIN DINAJPUR,no,
,STAR PPC,DN07,DAKSHIN DINAJPUR,no,
,STAR PSC,DN07,DAKSHIN DINAJPUR,no,
,STAR ANTIRUST,DN07,DAKSHIN DINAJPUR,no,
,AMBUJA PLUS,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,UTRATECH SUPER,DN07,DAKSHIN DINAJPUR,no,
,UTRATECH PREMIUM,DN07,DAKSHIN DINAJPUR,no,
,NUVOCO,DN07,DAKSHIN DINAJPUR,no,
,RAMCO,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,JSW,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,EMAMI,DN07,DAKSHIN DINAJPUR,no,
,AMBUJA,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,EMAMI DOUBLE BULL,DN07,DAKSHIN DINAJPUR,no,
,ACC F2R,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,ACC HPC,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,BANGUR,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,BIRLA GOLD,DN07,DAKSHIN DINAJPUR,no,
,BIRLA SAMRAT,DN07,DAKSHIN DINAJPUR,no,
,DALMIA,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,NUVOCO DOUBLE BULL,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,KONARK DALMIA,DN07,DAKSHIN DINAJPUR,no,
,NUVOCO CONCRETO,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,SHREE,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,ULTRATECH,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,ULTRATECH SUPER,DN07,DAKSHIN DINAJPUR,yes,BENCHMARK COMPETITOR
,DALMIA DSP,DN07,DAKSHIN DINAJPUR,yes,OTHER COMPETITOR
,STAR CEMENT PSC,DN07,DAKSHIN DINAJPUR,no,
,STAR ANTI RUST CEMENT,DN07,DAKSHIN DINAJPUR,no,
,STAR CEMENT OPC 43,DN07,DAKSHIN DINAJPUR,no,
,STAR CEMENT PPC,DN07,DAKSHIN DINAJPUR,yes,OPTIONAL STAR
,STAR CEMENT PPC(ADSTAR),DN07,DAKSHIN DINAJPUR,yes,MANDATORY STAR
,STAR CEMENT ANTIRUST,DN07,DAKSHIN DINAJPUR,no,OPTIONAL STAR
,STAR CEMENT PSC(ADSTAR),DN07,DAKSHIN DINAJPUR,no,
,ACC PPC,DN08,MALDA,no,
,ACC PSC,DN08,MALDA,no,
,AMBUJA PPC,DN08,MALDA,no,
,AMBUJA PSC,DN08,MALDA,no,
,BIRLA SAMRAT PPC,DN08,MALDA,no,
,BIRLA SAMRAT PSC,DN08,MALDA,no,
,BIRLA GOLD PPC,DN08,MALDA,no,
,BIRLA GOLD PSC,DN08,MALDA,no,
,DALMIA PPC,DN08,MALDA,no,
,DALMIA PSC,DN08,MALDA,no,
,KONARK PPC,DN08,MALDA,no,
,KONARK PSC,DN08,MALDA,no,
,LAFARGE PPC,DN08,MALDA,no,
,LAFARGE PSC,DN08,MALDA,no,
,ULTRATECH PPC,DN08,MALDA,no,
,ULTRATECH PSC,DN08,MALDA,no,
,STAR PPC,DN08,MALDA,no,
,STAR PSC,DN08,MALDA,no,
,STAR ANTIRUST,DN08,MALDA,no,
,AMBUJA PLUS,DN08,MALDA,yes,OTHER COMPETITOR
,UTRATECH SUPER,DN08,MALDA,no,
,UTRATECH PREMIUM,DN08,MALDA,no,
,NUVOCO,DN08,MALDA,no,
,RAMCO,DN08,MALDA,yes,OTHER COMPETITOR
,JSW,DN08,MALDA,yes,OTHER COMPETITOR
,EMAMI,DN08,MALDA,no,
,AMBUJA,DN08,MALDA,yes,OTHER COMPETITOR
,EMAMI DOUBLE BULL,DN08,MALDA,no,
,ACC HPC,DN08,MALDA,yes,OTHER COMPETITOR
,ACC F2R,DN08,MALDA,yes,OTHER COMPETITOR
,BANGUR,DN08,MALDA,yes,OTHER COMPETITOR
,BIRLA GOLD,DN08,MALDA,no,
,BIRLA SAMRAT,DN08,MALDA,no,
,DALMIA,DN08,MALDA,yes,OTHER COMPETITOR
,NUVOCO DOUBLE BULL,DN08,MALDA,yes,OTHER COMPETITOR
,KONARK DALMIA,DN08,MALDA,no,
,NUVOCO CONCRETO,DN08,MALDA,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,DN08,MALDA,yes,OTHER COMPETITOR
,SHREE,DN08,MALDA,yes,OTHER COMPETITOR
,ULTRATECH,DN08,MALDA,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,DN08,MALDA,yes,OTHER COMPETITOR
,ULTRATECH SUPER,DN08,MALDA,yes,BENCHMARK COMPETITOR
,DALMIA DSP,DN08,MALDA,yes,OTHER COMPETITOR
,STAR CEMENT PSC,DN08,MALDA,no,
,STAR ANTI RUST CEMENT,DN08,MALDA,no,
,STAR CEMENT OPC 43,DN08,MALDA,no,
,STAR CEMENT PPC,DN08,MALDA,yes,OPTIONAL STAR
,STAR CEMENT PPC(ADSTAR),DN08,MALDA,yes,MANDATORY STAR
,STAR CEMENT ANTIRUST,DN08,MALDA,no,OPTIONAL STAR
,STAR CEMENT PSC(ADSTAR),DN08,MALDA,no,
,AMBUJA ADSTAR,DN08,MALDA,yes,OTHER COMPETITOR
,ACC ADSTAR,DN08,MALDA,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),DN08,MALDA,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,DN08,MALDA,yes,OPTIONAL STAR
,AMBUJA ADSTAR,DN09,MURSHIDABAD,yes,
,ACC ADSTAR,DN09,MURSHIDABAD,yes,
,ACC PPC,DN09,MURSHIDABAD,no,
,ACC PSC,DN09,MURSHIDABAD,no,
,AMBUJA PPC,DN09,MURSHIDABAD,no,
,AMBUJA PSC,DN09,MURSHIDABAD,no,
,BIRLA SAMRAT PPC,DN09,MURSHIDABAD,no,
,BIRLA SAMRAT PSC,DN09,MURSHIDABAD,no,
,BIRLA GOLD PPC,DN09,MURSHIDABAD,no,
,BIRLA GOLD PSC,DN09,MURSHIDABAD,no,
,DALMIA PPC,DN09,MURSHIDABAD,no,
,DALMIA PSC,DN09,MURSHIDABAD,no,
,KONARK PPC,DN09,MURSHIDABAD,no,
,KONARK PSC,DN09,MURSHIDABAD,no,
,LAFARGE PPC,DN09,MURSHIDABAD,no,
,LAFARGE PSC,DN09,MURSHIDABAD,no,
,ULTRATECH PPC,DN09,MURSHIDABAD,no,
,ULTRATECH PSC,DN09,MURSHIDABAD,no,
,STAR PPC,DN09,MURSHIDABAD,no,
,STAR PSC,DN09,MURSHIDABAD,no,
,STAR ANTIRUST,DN09,MURSHIDABAD,no,
,AMBUJA PLUS,DN09,MURSHIDABAD,yes,
,UTRATECH SUPER,DN09,MURSHIDABAD,no,
,UTRATECH PREMIUM,DN09,MURSHIDABAD,no,
,NUVOCO,DN09,MURSHIDABAD,no,
,RAMCO,DN09,MURSHIDABAD,yes,
,JSW,DN09,MURSHIDABAD,yes,
,EMAMI,DN09,MURSHIDABAD,no,
,AMBUJA,DN09,MURSHIDABAD,yes,
,EMAMI DOUBLE BULL,DN09,MURSHIDABAD,no,
,ACC HPC,DN09,MURSHIDABAD,yes,
,ACC F2R,DN09,MURSHIDABAD,yes,
,BANGUR,DN09,MURSHIDABAD,yes,
,BIRLA GOLD,DN09,MURSHIDABAD,no,
,BIRLA SAMRAT,DN09,MURSHIDABAD,no,
,DALMIA,DN09,MURSHIDABAD,yes,
,NUVOCO DOUBLE BULL,DN09,MURSHIDABAD,yes,
,KONARK DALMIA,DN09,MURSHIDABAD,no,
,NUVOCO CONCRETO,DN09,MURSHIDABAD,yes,
,NUVOCO DURAGUARD,DN09,MURSHIDABAD,yes,
,SHREE,DN09,MURSHIDABAD,yes,
,ULTRATECH,DN09,MURSHIDABAD,yes,
,ULTRATECH PREMIUM,DN09,MURSHIDABAD,yes,
,ULTRATECH SUPER,DN09,MURSHIDABAD,yes,
,DALMIA DSP,DN09,MURSHIDABAD,yes,
,STAR CEMENT PSC,DN09,MURSHIDABAD,no,
,STAR ANTI RUST CEMENT,DN09,MURSHIDABAD,no,
,STAR CEMENT OPC 43,DN09,MURSHIDABAD,yes,
,STAR CEMENT PPC,DN09,MURSHIDABAD,yes,
,STAR CEMENT PPC(ADSTAR),DN09,MURSHIDABAD,yes,
,STAR CEMENT ANTIRUST,DN09,MURSHIDABAD,yes,
,STAR CEMENT PSC(ADSTAR),DN09,MURSHIDABAD,no,
,ACC PPC,DN10,RAGHUNATHGANJ,no,
,ACC PSC,DN10,RAGHUNATHGANJ,no,
,AMBUJA PPC,DN10,RAGHUNATHGANJ,no,
,AMBUJA PSC,DN10,RAGHUNATHGANJ,no,
,BIRLA SAMRAT PPC,DN10,RAGHUNATHGANJ,no,
,BIRLA SAMRAT PSC,DN10,RAGHUNATHGANJ,no,
,BIRLA GOLD PPC,DN10,RAGHUNATHGANJ,no,
,BIRLA GOLD PSC,DN10,RAGHUNATHGANJ,no,
,DALMIA PPC,DN10,RAGHUNATHGANJ,no,
,DALMIA PSC,DN10,RAGHUNATHGANJ,no,
,KONARK PPC,DN10,RAGHUNATHGANJ,no,
,KONARK PSC,DN10,RAGHUNATHGANJ,no,
,LAFARGE PPC,DN10,RAGHUNATHGANJ,no,
,LAFARGE PSC,DN10,RAGHUNATHGANJ,no,
,ULTRATECH PPC,DN10,RAGHUNATHGANJ,no,
,ULTRATECH PSC,DN10,RAGHUNATHGANJ,no,
,STAR PPC,DN10,RAGHUNATHGANJ,no,
,STAR PSC,DN10,RAGHUNATHGANJ,no,
,STAR ANTIRUST,DN10,RAGHUNATHGANJ,no,
,AMBUJA PLUS,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,UTRATECH SUPER,DN10,RAGHUNATHGANJ,no,
,UTRATECH PREMIUM,DN10,RAGHUNATHGANJ,no,
,NUVOCO,DN10,RAGHUNATHGANJ,no,
,RAMCO,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,JSW,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,EMAMI,DN10,RAGHUNATHGANJ,no,
,AMBUJA,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,EMAMI DOUBLE BULL,DN10,RAGHUNATHGANJ,no,
,ACC HPC,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,ACC F2R,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,BANGUR,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,BIRLA GOLD,DN10,RAGHUNATHGANJ,no,
,BIRLA SAMRAT,DN10,RAGHUNATHGANJ,no,
,DALMIA,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,NUVOCO DOUBLE BULL,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,KONARK DALMIA,DN10,RAGHUNATHGANJ,no,
,NUVOCO CONCRETO,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,SHREE,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,ULTRATECH,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,ULTRATECH SUPER,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,DALMIA DSP,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,STAR CEMENT PSC,DN10,RAGHUNATHGANJ,no,
,STAR ANTI RUST CEMENT,DN10,RAGHUNATHGANJ,no,
,STAR CEMENT OPC 43,DN10,RAGHUNATHGANJ,yes,OPTIONAL STAR
,STAR CEMENT PPC,DN10,RAGHUNATHGANJ,yes,OPTIONAL STAR
,STAR CEMENT PPC(ADSTAR),DN10,RAGHUNATHGANJ,no,
,STAR CEMENT ANTIRUST,DN10,RAGHUNATHGANJ,no,OPTIONAL STAR
,STAR CEMENT PSC(ADSTAR),DN10,RAGHUNATHGANJ,no,
,AMBUJA ADSTAR,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,ACC ADSTAR,DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),DN10,RAGHUNATHGANJ,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,DN10,RAGHUNATHGANJ,yes,OPTIONAL STAR
,AMBUJA ADSTAR,DN11,COSSIMBAZAR,yes,OTHER COMPETITOR
,ACC ADSTAR,DN11,COSSIMBAZAR,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),DN11,COSSIMBAZAR,yes,OTHER COMPETITOR
,ACC PPC,DN11,COSSIMBAZAR,no,
,ACC PSC,DN11,COSSIMBAZAR,no,
,AMBUJA PPC,DN11,COSSIMBAZAR,no,
,AMBUJA PSC,DN11,COSSIMBAZAR,no,
,BIRLA SAMRAT PPC,DN11,COSSIMBAZAR,no,
